Feature	domain	phylum	class	order	family	genus	species	ASV
6b815550c612e044914802f0b111beb8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	Unassigned_Shinella	6b815550c612e044914802f0b111beb8
d8006ba3c4c145201ffe31cd2ca20185	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unassigned_Cellulomonas	d8006ba3c4c145201ffe31cd2ca20185
08c008c5a3df1dd5c60a0cbb7104c7f4	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned_Cutibacterium	08c008c5a3df1dd5c60a0cbb7104c7f4
95b59987901501b6d73972a4e21e3b3a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus	95b59987901501b6d73972a4e21e3b3a
33de69950d745f2a0f4ffe72bf41c8ce	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	Unassigned_Lysinibacillus	33de69950d745f2a0f4ffe72bf41c8ce
93336167dcf13cd0fb4413081e2d505e	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	Unassigned_Subdoligranulum	93336167dcf13cd0fb4413081e2d505e
53c54b6c675ca281a2e47d6b2da7d9dd	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Unassigned_Mobiluncus	53c54b6c675ca281a2e47d6b2da7d9dd
5d2b5f7ef1ae17943d4b2324e1da01d4	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Unassigned_Anaerococcus	5d2b5f7ef1ae17943d4b2324e1da01d4
f05c4f1f1eeda677bc75e206702d9564	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	Unassigned_Alcanivorax	f05c4f1f1eeda677bc75e206702d9564
103ea1ef1c792069afeacb36c3317604	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Unassigned_Alistipes	103ea1ef1c792069afeacb36c3317604
98bf7b067c64f147bf8879ab951356e0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Fenollaria	Unassigned_Fenollaria	98bf7b067c64f147bf8879ab951356e0
f8b9b48a768781041bc3238f8b03b4d8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	Unassigned_Alkanindiges	f8b9b48a768781041bc3238f8b03b4d8
