sequence	16S_rRNA_Count	metadata_NSTI
06eef0e4ad8b82917f0c46f387b6174d	1	0.050315
06f0524e7a1b595ae580bb69ef75a763	1	0.238853
06f7acb1d35c24028d7cc794373785a2	1	0.13761700000000002
06f9503d0a7e86cdd89dce184e647b09	1	0.026597000000000003
06f98c19773351c25c21e7b36e2aed5e	1	0.056438
0704b4ab913d2de13364827d7b4c9cde	10	2.581497
0716e5a544de66d1745ef2c33488c182	1	0.032626
07170394b7e434eccee7c5fb4f951992	1	0.093196
0724288001cbfce390e1b07239fa3a17	1	0.175655
0724351709328a1851f3f2d9aec50d15	1	0.020421
072717cb2643a05fea5ceff0b3b91e50	1	0.016511
07271a34770dbc983ab1d135575529ab	10	2.581497
072955ce4a0c4c1a146b0044327a7329	1	0.086202
072eb633734b3c08ae1287c3a1262c21	2	0.154548
073767272f070a1ec7a0e9f0244b5a0d	1	0.040264999999999995
0738bf908297e17613d82229130abd95	10	2.398701
073f406823ef67d84f210a011c6022dc	2	0.21665
0744c2713f9dca264acd3ee15a020507	1	0.031117000000000002
075794a060f4a642df2de04c41b969d0	1	0.019126
075a0602bf935a7655ee2596fd460341	1	0.032274000000000004
07607f7306f938bc8d708a3730d26b29	2	0.02052
0760f09dba8f813388d779462c70e105	3	0.186452
07650457c5ac9737a3c737fbacacd610	2	0.016211
0765a1527adcd3d90f99c50bd7bdc256	1	0.094881
076730140953965b050a80ecb746ac7a	1	0.077472
076ff1cbc93e1c88d7fe8c5b042239b5	2	0.178307
07709fb2e39cccf1e556c3932685c25b	1	0.339538
07730780e2707f8bed176d602b163fa5	1	0.028823
0777c2ac2ee635a14cd996531bb91cfc	2	0.033355
077a051f311a87cb6cb7e66e7b4c651b	3	0.32195300000000004
077b7dc132b17a70e3c949828daee8e1	1	0.01217
07807a986f61032e6c7310a800812346	1	0.008221
0781fb7897ae0304450ea7728d018a6f	1	0.012139
079c20720afa80ca3d9c0643ce2c6917	1	0.112052
079f89cfc0489996bb2656330ca771bb	2	0.062524
07a27b15445a273c7208209fd4db8d8c	2	0.029213
07a6895f9c71bf1655a268b77f862611	7	0.015983
07a7078ebf74a26e9b1a6fe4650b37ad	10	2.581497
07a7661c8633b7289b0d401489260134	1	0.049569
07a9d551950e880ac7c979425181496c	1	0.011981
07b68ddaad8291b7da0893976acb7ae0	2	0.050404000000000004
07c1ececbf5051dd13087c141fda2bbc	1	0.003972
07c5e0afad4b32968cad49722b7c5e96	1	0.284469
07c7aa51a6e8fcc6ce5cf213d17664cc	1	0.040997000000000006
07ccc3d95a05e86d0ce0d9c3d09e61d0	1	0.078183
07e2206fd0e001b8f48bff182e82908a	1	0.337931
07ef0c295a22d573224c404922c8a004	2	0.016492
07f1dec70b5ddacb65bc03b30c68bee3	1	0.060972000000000005
07f395e0c820675edd08786c798646a1	4	0.198951
07f98994e1e0932d12dd100846a3bfea	1	0.068722
07fe6c95db09576ae637291a8d2c5c6f	8	0.003968
0804dca9b1fbc68299cd666d8db04647	1	0.206121
0809fecfe53606c177bc6e5115486fc0	1	0.065363
080a5a0389b1dce676855611e42cffe4	1	0.054089
0812a3bb2eccaf8e2c09c59ff32a5dd0	1	0.014513
0813d2686f1cc9a884d2d3af0b82ec65	9	0.050200999999999996
0814960a923ab4b5a60a77022e25de3b	1	0.021002
0814cfc97cfa9322e77ffa48c0ec0e7d	1	0.058987
081633524de0ebf52b81de0f959db0d7	1	0.117927
081909a4bc4d150a804ca1b6da32a2b5	1	0.026368
081fa8b423cbe36af04007ec310f991f	1	0.103475
082a8a11de8674890d1a39f88a1b70ad	1	0.078434
082e1c43f65e844de50d9b52537d8a62	1	0.120966
082f87c10306a1d8bd86b26aa3a953b6	1	0.037217
083ba1931e33fa7f179cc8386c100839	1	0.0039689999999999994
084c6961c2009d32dda1d825727e1453	2	0.008104
084fec170148696327def888dbcd1cc4	2	0.139336
08565c7694f76afc94d84781f1687c8b	10	1.9800470000000001
0857edc73e7459eedfd61e9554ace8d3	1	0.385261
085a8bfc0f7dc1f4cb5a2ef3fd2c5f15	1	0.06863999999999999
085de7539cbe673ff490a6e8d308876b	1	0.43136499999999994
08666e52e75f1bbf73251554bcff5eae	1	0.016640000000000002
0866babc24eb18af6238590c38a748cc	1	0.01612
